popular_rank,startYear,endYear,type,orign_country,language,rating,numVotes,genres,isAdult
"1,223",2017.0,2018.0,tvSeries,United Kingdom,English,6.8,6324.0,"Comedy,Crime",0
"1,224",2013.0,2014.0,tvSeries,Japan,Japanese,7.9,11619.0,"Action,Animation,Comedy",0
"1,227",2020.0,2022.0,tvSeries,Japan,Japanese,8.2,5704.0,"Action,Animation,Comedy",0
"1,228",2020.0,2022.0,tvSeries,Mexico,Spanish,6.9,5240.0,"Drama,Thriller",0
"1,229",2017.0,2018.0,tvSeries,France,French,7.0,6193.0,"Drama,Mystery,Thriller",0
"1,231",1967.0,1969.0,movie,United States,English,6.0,7647.0,"Drama,Music,Romance",0
"1,232",2018.0,2018.0,tvSeries,United Kingdom,English,6.3,5345.0,"Drama,Horror,Mystery",0
"1,233",2019.0,2019.0,tvSeries,France,French,7.5,12495.0,"Drama,Horror,Mystery",0
"1,243",2017.0,2019.0,movie,United States,English,4.7,11927.0,"Crime,Drama,Romance",0
"1,246",2017.0,2018.0,tvSeries,United States,English,7.1,5748.0,Comedy,0
"1,248",2016.0,2018.0,tvSeries,United States,English,8.1,7890.0,"Action,Adventure,Animation",0
"1,250",2018.0,2020.0,movie,United States,English,6.7,13595.0,"Drama,Thriller",0
"1,251",2018.0,2020.0,tvSeries,United Kingdom,English,8.6,7696.0,"Adventure,Animation,Comedy",0
"1,255",2012.0,2014.0,tvSeries,United Kingdom,English,7.9,11127.0,"Crime,Drama,Mystery",0
"1,257",2018.0,2020.0,tvSeries,Japan,Japanese,7.5,5409.0,"Action,Adventure,Animation",0
"1,258",2020.0,2022.0,movie,United States,English,5.2,9090.0,"Comedy,Romance",0
"1,264",2020.0,2022.0,tvSeries,Sweden,Swedish,7.4,6492.0,"Comedy,Drama,Romance",0
"1,268",2017.0,2018.0,tvSeries,United States,Mandarin,6.8,9172.0,Comedy,0
"1,272",1992.0,2014.0,tvSeries,United Kingdom,English,7.7,7448.0,Comedy,0
"1,280",2019.0,2021.0,movie,United Kingdom,English,6.1,9897.0,Comedy,0
"1,293",2018.0,2020.0,movie,United Kingdom,English,4.8,11293.0,"Horror,Mystery,Thriller",0
"1,294",2019.0,2021.0,movie,France,English,5.9,8851.0,"Crime,Drama,Thriller",0
"1,297",2018.0,2020.0,movie,Canada,English,5.7,7225.0,"Horror,Thriller",0
"1,298",2016.0,2016.0,tvMiniSeries,United Kingdom,English,6.7,7194.0,"Crime,Drama,Mystery",0
"1,301",2019.0,2021.0,movie,Germany,German,7.8,11023.0,Drama,0
"1,306",2021.0,2021.0,tvMiniSeries,United States,English,8.1,5573.0,"Biography,Comedy,Documentary",0
"1,308",2000.0,2004.0,tvSeries,Japan,Japanese,7.9,14930.0,"Action,Adventure,Animation",0
"1,310",2021.0,2022.0,movie,United States,English,7.0,6284.0,"Crime,Documentary,Drama",0
"1,313",2020.0,2022.0,tvSeries,United States,English,7.3,7920.0,"Crime,Documentary,Mystery",0
"1,318",2013.0,2014.0,tvSeries,South Korea,Korean,8.2,9708.0,"Comedy,Drama,Fantasy",0
"1,322",2021.0,2021.0,tvSeries,United States,English,5.9,14500.0,"Crime,Documentary,Mystery",0
"1,324",2014.0,2015.0,tvSeries,Japan,Japanese,8.0,6531.0,"Action,Animation,Fantasy",0
"1,327",2017.0,2017.0,tvMiniSeries,United States,English,6.9,7601.0,Comedy,0
"1,330",2018.0,2020.0,movie,United States,English,4.2,8409.0,"Adventure,Drama,Fantasy",0
"1,332",2015.0,2017.0,movie,United States,English,5.1,12463.0,"Drama,Thriller",0
"1,335",2012.0,2012.0,tvSeries,Japan,Japanese,7.6,12030.0,"Animation,Drama,Horror",0
"1,340",2017.0,2019.0,movie,United States,English,6.9,12077.0,"Drama,Romance",0
"1,344",2016.0,2017.0,tvSeries,South Korea,Korean,8.1,6197.0,"Comedy,Fantasy,Romance",0
"1,346",2019.0,2021.0,movie,Italy,Italian,6.2,5433.0,"Crime,Drama",0
"1,351",2019.0,2021.0,movie,United Kingdom,English,5.9,13068.0,"Crime,Drama,Mystery",0
"1,352",2008.0,2009.0,tvSeries,Japan,Japanese,8.0,11501.0,"Animation,Comedy,Drama",0
"1,354",2013.0,2013.0,tvSeries,South Korea,Korean,7.5,8193.0,"Comedy,Drama,Romance",0
"1,368",2018.0,2020.0,movie,United States,English,5.2,10420.0,Comedy,0
"1,373",2018.0,2020.0,movie,United Kingdom,English,5.8,6386.0,"Action,Comedy",0
"1,376",2016.0,2018.0,movie,United Kingdom,English,6.4,14755.0,"Action,Crime,Drama",0
"1,384",2008.0,2009.0,tvSeries,United States,English,8.2,11081.0,"Action,Adventure,Animation",0
"1,385",2017.0,2017.0,tvMiniSeries,France,French,7.4,11870.0,"Crime,Drama,Thriller",0
"1,387",2017.0,2019.0,movie,Australia,English,6.3,14687.0,"Crime,Drama,Mystery",0
"1,392",2016.0,2016.0,tvSeries,South Korea,Korean,8.1,7200.0,"Drama,Fantasy,Romance",0
"1,397",1992.0,1995.0,tvSeries,-,-,8.4,11876.0,"Action,Adventure,Animation",0
"1,401",2019.0,2021.0,tvSeries,India,Hindi,6.9,9194.0,"Action,Adventure,Drama",0
"1,405",2020.0,2022.0,movie,India,Hindi,6.6,10108.0,"Drama,Horror,Mystery",0
"1,407",2018.0,2020.0,tvSeries,United States,English,7.9,6887.0,"Biography,Crime",0
"1,408",2018.0,2020.0,movie,United States,English,5.8,8123.0,Thriller,0
"1,414",2019.0,2019.0,tvMiniSeries,United States,English,7.3,6758.0,"Documentary,Drama,History",0
"1,420",2020.0,2022.0,movie,United States,English,6.1,8668.0,"Biography,Drama,History",0
"1,421",2020.0,2022.0,movie,Japan,Japanese,6.7,6477.0,"Adventure,Animation,Family",0
"1,423",2012.0,2012.0,tvMiniSeries,Canada,English,7.0,8177.0,"Drama,History,Romance",0
"1,424",2015.0,2017.0,tvSeries,United Kingdom,English,7.7,8059.0,Comedy,0
"1,425",2017.0,2017.0,tvSeries,Belgium,Dutch,8.0,8931.0,"Drama,Horror,Thriller",0
"1,427",2012.0,2014.0,movie,Japan,German,7.6,11097.0,"Action,Adventure,Animation",0
"1,428",2018.0,2018.0,tvMiniSeries,United Kingdom,English,7.2,5480.0,"Action,Adventure,Animation",0
"1,432",2019.0,2021.0,movie,Poland,English,6.2,9142.0,"History,Sport,Thriller",0
"1,434",2015.0,2019.0,tvSeries,United States,English,8.5,13888.0,Documentary,0
"1,441",2016.0,2018.0,movie,Japan,Japanese,7.1,13216.0,"Action,Animation,Drama",0
"1,444",2018.0,2020.0,movie,United States,English,6.1,7976.0,"Romance,Sci-Fi",0
"1,449",2017.0,2019.0,movie,Argentina,Spanish,6.5,12566.0,Horror,0
"1,452",2016.0,2018.0,movie,Canada,English,4.6,13486.0,"Drama,Horror,Mystery",0
"1,458",2011.0,2012.0,tvSeries,United Kingdom,English,8.0,9635.0,Drama,0
"1,459",2019.0,2021.0,movie,United States,English,6.1,12753.0,"Comedy,Drama,Romance",0
"1,464",2007.0,2009.0,movie,France,French,6.7,10572.0,"Drama,Romance",0
"1,465",2020.0,2020.0,tvMiniSeries,United States,English,7.3,9922.0,"Biography,Drama,History",0
"1,470",2012.0,2013.0,tvSeries,United Kingdom,English,7.7,10743.0,Drama,0
"1,474",2015.0,2016.0,tvSeries,Canada,English,6.0,8481.0,"Drama,Mystery,Sci-Fi",0
"1,479",2012.0,2014.0,tvSeries,United States,English,8.1,11314.0,"Animation,Comedy,Family",0
"1,484",2020.0,2022.0,movie,India,Hindi,6.5,8943.0,"Action,Crime,Drama",0
"1,485",2015.0,2017.0,movie,Japan,Japanese,6.1,5855.0,"Action,Drama,Fantasy",0
"1,498",2016.0,2018.0,movie,United States,English,5.6,8438.0,"Crime,Drama",0
"1,507",2019.0,2021.0,movie,Taiwan,Mandarin,7.6,6153.0,"Crime,Drama",0
"1,509",2015.0,2017.0,movie,United States,English,5.6,11914.0,"Drama,Romance",0
"1,517",2018.0,2018.0,tvSeries,Japan,Japanese,8.4,6215.0,"Animation,Drama,Mystery",0
"1,521",2013.0,2015.0,movie,Japan,Japanese,7.9,8791.0,"Action,Adventure,Animation",0
"1,523",2020.0,2022.0,movie,United States,English,5.8,6793.0,"Comedy,Drama,Romance",0
"1,534",2010.0,2014.0,tvSeries,Ireland,English,8.5,6273.0,"Crime,Drama",0
"1,541",2020.0,2022.0,movie,Canada,French,5.9,7620.0,"Action,Thriller",0
"1,547",2018.0,2020.0,movie,Netherlands,French,7.1,12889.0,Drama,0
"1,548",2018.0,2020.0,tvSeries,United States,English,8.1,8205.0,"Crime,Documentary",0
"1,549",2018.0,2020.0,movie,Spain,Spanish,6.7,9046.0,"Biography,Drama,History",0
